pose,left_elbow,right_elbow,left_shoulder,right_shoulder,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,left_wrist,right_wrist,spine_angle,nose_x,nose_y
downdog,164.44663658103642,174.196447655981,179.31834305683694,176.85129381114766,161.98381883707148,162.0501071500727,39.899691200503476,40.929815142683516,119.62388532393817,122.00444755091252,141.7106665057765,160.2968442710324,16.9902373657891,0.38509345054626465,0.7025248408317566
downdog,171.2658059551485,169.5205126719064,168.9000029536246,171.08977537577871,177.32977574298476,176.75334826135483,64.73419950064418,66.49479950820351,110.83360227160635,110.99832062008448,143.30425274285824,143.2971736132696,130.01866663551357,0.7157568335533142,0.5476125478744507
downdog,166.0887589559661,173.3406302882158,163.7594996811336,169.54568756167495,173.0639330453869,174.23692374899602,67.52555367717264,64.43845577716357,119.46638859767867,127.34388849705667,153.79218639787985,149.1102593974532,79.72992622045143,0.5303057432174683,0.6086443066596985
downdog,178.34983273854945,156.34230428377037,177.643528843946,173.40026779202083,179.0613965965455,175.57052997146172,52.60603469838494,44.50971033331661,124.98353495053901,115.12358375612014,166.40731974828046,149.82731503364576,111.47014373140658,0.4922106862068176,0.6768847703933716
downdog,167.46543829059183,168.74976043768604,178.71593574831127,176.9052895978372,178.0476088420779,179.80897868126064,37.78400578944791,36.38870394625567,128.65384769770333,132.40593784402185,123.94518971471365,135.1283870134872,14.784246228023994,0.4438450336456299,0.7318858504295349
downdog,174.1821822708282,178.12103122107797,166.77542813550068,171.8807533210207,175.4824686929723,175.26015185072364,54.19392075735925,53.79208393601637,115.74789936236155,116.90312630444205,129.07929756804265,151.74930725985547,32.47341313392039,0.4643913507461548,0.6843520998954773
downdog,164.01388596964676,161.11486466802137,169.9977641677097,167.83335483338217,179.40949104651003,179.45103289483654,54.566324512037205,54.562039342880226,106.13649794241257,109.97779574754446,145.63101677377304,151.14493756429147,13.680873556871493,0.36402446031570435,0.7466648817062378
downdog,173.6810783382723,177.07409347145204,178.6940321104152,176.53524641218425,173.85333527183033,175.10609268192496,45.41427971913378,46.11262131059627,105.17271783785185,119.77482470127796,134.89914071989227,151.1119133103074,25.50712163418569,0.4014391601085663,0.6764845848083496
downdog,160.40564499997686,168.12579641521788,179.69005337726912,175.6061049466978,143.39108726859757,149.69969156321937,57.477722099154846,61.66629277119903,77.49204263267251,88.59892693532254,158.22680769928553,152.1255590981185,32.07389521464355,0.4377780854701996,0.7479666471481323
downdog,172.46433201599189,177.27449126764557,147.71370423312183,155.5938940934331,174.6143348285929,178.0817704231051,88.40462844644297,86.16211224499831,106.08301357486937,107.89692244239905,140.84023447761385,130.99931075886303,47.1434475686097,0.31510671973228455,0.5862895250320435
downdog,171.04507141385798,142.47482919615538,165.32118063184086,153.9982210047527,171.91746373236666,177.87988693877315,74.63798608940523,54.15035729687269,123.95647350130943,125.76577192085998,156.43232245863055,133.37478492002614,72.44397420364488,0.2833764851093292,0.6674118638038635
